(xor _BC _M1 _F0 _F1 _F2 _F3 _F4 _F5 _F6 _F7 _F8 _F9 _F10 _F11 _F12 _F13 _F14 _F15 _F16 _F17 _F18 _F19 _F20 _F21 _F22 _F23 _F24 _F25 _F26 _F27 _F28 _F29 _F30 _F31 _F32 _F33 _F34 _F35 _F36 _F37 _F38 _F39 _F40 _F41 _F42 _F43 _F44 _F45 _F46 _F47 _F48 _F49 _F50 _F51 _F52 _F53 _F54 _F55 _F56 _F57 _F58 _F59 _F60 _F61 _F62 _F63 _F64 _F65 _F66 _F67 _F68 _F69 _F70 _F71 _F72 _F73 _F74 _F75 _F76 _F77 _F78 _F79 _F80 _F81 _F82 _F83 _F84 _F85 _F86 _F87 _F88 _F89 _F90 _F91 _F92 _F93 _F94 _F95 _F96 _F97 _F98 _F99)
Model;bCMS;_M1
Class;PSCSystem;(and (not _F0) (not _F10))
Class;FSCSystem;(and (not _F1) (not _F13))
DomainModel;Architecture;(not _F1)
Generalization;G_6;(not _F2)
Class;FSCSystemNoEncryption;(not _F2)
Class;PSCSystemNoEncryption;(not _F2)
Class;FScoordinatorNoEncryption;(not _F2)
Generalization;G_3;(not _F2)
Class;PScoordinatorNoEncryption;(not _F3)
Class;Witness;(not _F3)
Class;Victim;(not _F3)
Class;TimeoutLog;(not _F5)
Property;Cr_9974;_F5
Class;RoutePoliceCar;(not _F6)
Region;Cr_9971;_F6
Class;RoutePlan;(not _F8)
Class;Cr_9956;_F8
Region;Cr_9955;_F8
Class;RouteFireTruck;(not _F8)
Class;Route;(not _F9)
Class;PScoordinator;(not _F11)
Class;PoliceOfficer;(not _F11)
Class;PoliceCar;(not _F12)
Class;GPS;(not _F12)
Class;GovermentAgency;(not _F12)
Class;FScoordinator;(not _F14)
Comment;Cr_9926;_F15
Class;FireTruck;(not _F15)
Class;Fireman;(not _F16)
Class;Crisis;(not _F18)
Property;Cr_9907;_F19
Property;P_9;(not _F19)
Class;Credential;(not _F19)
Property;P_7;(not _F19)
Class;CommunicationInfrastructure;(not _F19)
Property;P_6;(not _F20)
Class;CommunicationCompromiser;(not _F20)
Property;Cr_9894;_F21
Class;BCMSSystem;(not _F21)
Association;timeoutLog_report_fScoordinator;(not _F21)
Association;fireTrucks_manage_fScoordinator;(not _F22)
Association;policeCars_manage_pScoordinator;(not _F22)
Association;witnesses_interact_policeOfficers;(not _F23)
Association;fScoordinator_interact_fSCSystem;(not _F23)
Comment;Cr_9883;_F23
Association;routePlans_develop_pSCSystem;(not _F24)
Association;routePoliceCars_route_routePlan;(not _F25)
Association;routeFireTrucks_route_routePlan;(not _F25)
DomainModel;Domain;(not _F26)
Property;Cr_9862;_F27
Property;Cr_9859;_F27
Region;S_42;(not _F27)
Region;Region2;(not _F27)
Comment;Cr_9844;_F29
Transition;T_70;(not _F29)
Transition;T_68;(not _F30)
Transition;T_67;(not _F30)
Region;S_41;(not _F30)
Region;S_37;(not _F31)
Region;S_36;(not _F32)
Region;S_35;(not _F32)
Region;S_34;(not _F32)
Transition;Cr_9823;_F32
Region;Region1;(not _F33)
Transition;Cr_9821;_F33
StateMachine;SM-PScoordinator;(not _F33)
Transition;T_64;(not _F33)
Region;R16;(not _F34)
Region;S_31;(not _F35)
Region;R15;(not _F36)
StateMachine;SM-ConnectivityPSCsystem;(not _F36)
Transition;T_60;(not _F36)
Transition;T_59;(not _F37)
Region;R14;(not _F37)
Transition;T_58;(not _F37)
Transition;T_57;(not _F37)
Transition;T_56;(not _F37)
Comment;Cr_9787;_F38
Transition;T_51;(not _F38)
Region;Cr_9785;_F38
Transition;T_50;(not _F38)
Region;Cr_9782;_F39
Region;Cr_9781;_F39
Region;Cr_9779;_F40
Region;R13;(not _F41)
StateMachine;SM-PSCSystem;(not _F41)
Region;R12;(not _F41)
Region;S_18;(not _F42)
Region;S_17;(not _F42)
Region;R11;(not _F43)
StateMachine;SM-ConnectivityFSCsystem;(not _F43)
Property;Cr_9761;_F43
Region;S_16;(not _F43)
Region;S_15;(not _F43)
Region;R10;(not _F44)
Association;Cr_9759;_F44
Transition;T_39;(not _F44)
Region;S_14;(not _F44)
Property;Cr_9755;_F44
Region;S_13;(not _F44)
