(xor _BC _M1 _F0 _F1 _F2 _F3 _F4 _F5 _F6 _F7 _F8 _F9 _F10 _F11 _F12 _F13 _F14 _F15 _F16 _F17 _F18 _F19 _F20 _F21 _F22 _F23 _F24 _F25 _F26 _F27 _F28 _F29 _F30 _F31 _F32 _F33 _F34 _F35 _F36 _F37 _F38 _F39 _F40 _F41 _F42 _F43 _F44 _F45 _F46 _F47 _F48 _F49 _F50 _F51 _F52 _F53 _F54 _F55 _F56 _F57 _F58 _F59 _F60 _F61 _F62 _F63 _F64 _F65 _F66 _F67 _F68 _F69 _F70 _F71 _F72 _F73 _F74 _F75 _F76 _F77 _F78 _F79)
Model;bCMS;_M1
Class;Cr_9998;_F0
Association;Cr_9997;_F0
Class;PSCSystem;(and (not _F0) (not _F9))
Comment;Cr_9993;_F1
Transition;Cr_9989;_F1
Class;FSCSystem;(and (not _F1) (not _F13))
Region;Cr_9987;_F1
Class;Cr_9983;_F2
DomainModel;Architecture;(not _F2)
Class;FSCSystemNoEncryption;(not _F2)
Generalization;G_5;(not _F2)
Class;PSCSystemNoEncryption;(not _F2)
Class;FScoordinatorNoEncryption;(not _F2)
Generalization;G_3;(not _F2)
Class;PScoordinatorNoEncryption;(not _F2)
Class;Witness;(not _F3)
Class;Victim;(not _F3)
Class;TimeoutLog;(not _F4)
Class;RoutePoliceCar;(not _F5)
Property;Cr_9967;_F5
Class;RoutePlan;(not _F6)
Class;RouteFireTruck;(not _F7)
Class;Route;(not _F8)
Property;P_58;(not _F8)
Property;P_56;(not _F9)
Comment;Cr_9936;_F9
Class;PScoordinator;(not _F10)
Class;PoliceOfficer;(not _F11)
Comment;Cr_9920;_F12
Class;PoliceCar;(not _F12)
Class;GPS;(not _F12)
Property;P_39;(not _F12)
Class;GovermentAgency;(not _F12)
Property;P_37;(not _F13)
Property;P_36;(not _F13)
Property;P_34;(not _F13)
Transition;Cr_9906;_F14
Property;P_28;(not _F14)
Class;FScoordinator;(not _F14)
Association;Cr_9901;_F14
Property;P_25;(not _F15)
Property;P_24;(not _F15)
Class;FireTruck;(not _F15)
Class;Fireman;(not _F15)
Class;Crisis;(not _F17)
Class;Credential;(not _F17)
Class;CommunicationInfrastructure;(not _F18)
Class;CommunicationCompromiser;(not _F18)
Property;P_5;(not _F18)
Property;P_3;(not _F18)
Property;P_2;(not _F18)
Class;BCMSSystem;(not _F18)
Association;timeoutLog_report_fScoordinator;(not _F19)
Association;bCMSSystem_regulate_govermentAgency;(not _F19)
Transition;Cr_9878;_F19
Association;fireTrucks_manage_fScoordinator;(not _F20)
Association;victims_interact_firemen;(not _F20)
Association;witnesses_interact_firemen;(not _F20)
Region;Cr_9874;_F20
Transition;Cr_9872;_F20
Association;firemen_interact_fScoordinator;(not _F21)
Association;crisis_handle_bCMSSystem;(not _F21)
Association;fireTruck_follow_routeFireTruck;(not _F21)
Association;crisis_allocate_fireTrucks;(not _F21)
Association;crisis_allocate_policeCars;(not _F21)
Association;communicationInfrastructure_access_communicationCompromisers;(not _F22)
Association;routePoliceCars_route_routePlan;(not _F22)
Association;bCMSSystem_contain_pSCSystem;(not _F23)
Association;bCMSSystem_contain_fSCSystem;(not _F23)
DomainModel;Domain;(not _F23)
Region;Region2;(not _F23)
Transition;T_69;(not _F24)
Transition;T_67;(not _F24)
Transition;T_66;(not _F25)
Association;Cr_9845;_F25
Association;Cr_9844;_F25
Transition;T_65;(not _F25)
Transition;Cr_9839;_F25
Region;Region1;(not _F26)
StateMachine;SM-PScoordinator;(not _F26)
Transition;T_64;(not _F27)
Region;R16;(not _F27)
Transition;T_63;(not _F27)
Transition;T_62;(not _F27)
Region;R15;(not _F28)
StateMachine;SM-ConnectivityPSCsystem;(not _F28)
Transition;T_60;(not _F28)
Region;R14;(not _F29)
Transition;T_58;(not _F29)
Transition;T_57;(not _F29)
Transition;T_56;(not _F29)
Transition;Cr_9817;_F30
Transition;T_55;(not _F30)
Transition;T_54;(not _F30)
Transition;T_52;(not _F30)
Transition;T_50;(not _F30)
Region;S_27;(not _F31)
Region;S_26;(not _F31)
Comment;Cr_9802;_F32
Region;S_22;(not _F32)
Class;Cr_9801;_F32
Region;S_21;(not _F32)
Region;Cr_9800;_F32
Region;R13;(not _F32)
StateMachine;SM-PSCSystem;(not _F33)
Region;R12;(not _F33)
Property;Cr_9789;_F34
Region;S_17;(not _F34)
Region;R11;(not _F35)
Association;Cr_9782;_F35
Transition;Cr_9781;_F35
