(xor _BC _M1 _F0 _F1 _F2 _F3 _F4 _F5 _F6 _F7 _F8 _F9 _F10 _F11 _F12 _F13 _F14 _F15 _F16 _F17 _F18 _F19)
Model;bCMS;_M1
Comment;C_1_Author;_BC
Property;C_1284_P_92;(not _F0)
Property;C_1283_P_91;(not _F0)
Property;C_1282_P_90;(not _F0)
Comment;Cr_10000;_F0
Property;C_1281_P_89;(not _F0)
Class;C_1280_PSCSystem;(not _F0)
Property;C_1279_P_88;(not _F0)
Property;Cr_9999;_F0
Property;C_1278_P_87;(not _F0)
Property;C_1277_P_86;(not _F0)
Association;Cr_9998;_F0
Class;C_1276_FSCSystem;(not _F1)
Transition;Cr_9997;_F1
Association;C_1275_fSCSystem_call_pSCSystem;(not _F1)
Class;Cr_9996;_F1
Comment;Cr_9995;_F1
Association;C_1274_pSCSystem_call_fSCSystem;(not _F1)
DomainModel;C_1273_Architecture;(not _F1)
Transition;Cr_9994;_F1
Property;Cr_9993;_F1
Generalization;C_1272_G_6;(not _F1)
Association;Cr_9992;_F1
Region;Cr_9991;_F2
Comment;Cr_9990;_F2
Class;C_1271_FSCSystemNoEncryption;(not _F2)
Property;Cr_9989;_F2
Property;Cr_9988;_F2
Property;Cr_9987;_F2
Generalization;C_1270_G_5;(not _F2)
Comment;Cr_9986;_F2
Class;C_1269_PSCSystemNoEncryption;(not _F2)
Region;Cr_9985;_F2
Generalization;C_1268_G_4;(not _F2)
Class;C_1267_FScoordinatorNoEncryption;(not _F3)
Generalization;C_1266_G_3;(not _F3)
Transition;Cr_9984;_F3
Comment;Cr_9983;_F3
Comment;Cr_9982;_F3
Class;C_1265_PScoordinatorNoEncryption;(not _F3)
Transition;Cr_9981;_F3
Property;C_1264_P_85;(not _F3)
Region;Cr_9980;_F3
Property;C_1263_P_84;(not _F3)
Class;C_1262_Witness;(not _F3)
Property;C_1261_P_83;(not _F4)
Property;C_1260_P_82;(not _F4)
Class;C_1259_Victim;(not _F4)
Class;Cr_9979;_F4
