Transformation Name, Clone Number, Input Size, Feature Number, Rules per Feature, Runtime, Clauses, Variables, Clauses/Variables, Slow-down Ratio
modify_Transition_in_Region,1,322,20,13,6.564547,687,2,343.5,1.0
modify_Transition_in_Region,1,322,20,13,6.569702,722,2,361.0,1.0
modify_Transition_in_Region,2,643,100,13,11.775082,1451,2,725.5,1.0
modify_Transition_in_Region,2,643,100,13,12.564872,1600,2,800.0,1.0
modify_Transition_in_Region,3,1285,20,13,24.575747,2924,2,1462.0,1.0
modify_Transition_in_Region,3,1285,20,13,27.469998,3049,2,1524.5,1.0
modify_Transition_in_Region,3,1285,40,13,25.704271,2925,2,1462.5,1.0
modify_Transition_in_Region,3,1285,40,13,26.377928,3072,2,1536.0,1.0
modify_Transition_in_Region,3,1285,60,13,24.860887,2911,2,1455.5,1.0
modify_Transition_in_Region,3,1285,60,13,27.9682,3093,2,1546.5,1.0
modify_Transition_in_Region,3,1285,80,13,24.283828,2907,2,1453.5,1.0
modify_Transition_in_Region,3,1285,80,13,26.474431,3139,2,1569.5,1.0
modify_Transition_in_Region,3,1285,100,13,25.284403,2891,2,1445.5,1.0
modify_Transition_in_Region,3,1285,100,13,27.343002,3124,2,1562.0,1.0
modify_Transition_in_Region,4,2569,20,13,65.574321,5861,2,2930.5,1.0
modify_Transition_in_Region,4,2569,20,13,68.851602,6052,2,3026.0,1.0
modify_Transition_in_Region,4,2569,40,13,64.885317,5850,2,2925.0,1.0
modify_Transition_in_Region,4,2569,40,13,68.126,6063,2,3031.5,1.0
modify_Transition_in_Region,4,2569,60,13,63.778922,5840,2,2920.0,1.0
modify_Transition_in_Region,4,2569,60,13,70.841669,6105,2,3052.5,1.0
modify_Transition_in_Region,4,2569,80,13,64.767387,5850,2,2925.0,1.0
modify_Transition_in_Region,4,2569,80,13,65.710601,6151,2,3075.5,1.0
modify_Transition_in_Region,1,322,40,13,6.441517,684,2,342.0,1.0
modify_Transition_in_Region,1,322,40,13,6.498548,746,2,373.0,1.0
modify_Transition_in_Region,4,2569,100,13,61.456252,5839,2,2919.5,1.0
modify_Transition_in_Region,4,2569,100,13,69.00833,6198,2,3099.0,1.0
modify_Transition_in_Region,1,322,60,13,6.512065,683,2,341.5,1.0
modify_Transition_in_Region,1,322,60,13,7.004503,798,2,399.0,1.0
modify_Transition_in_Region,1,322,80,13,6.542647,684,2,342.0,1.0
modify_Transition_in_Region,1,322,80,13,7.058602,776,2,388.0,1.0
modify_Transition_in_Region,1,322,100,13,6.445163,677,2,338.5,1.0
modify_Transition_in_Region,1,322,100,13,6.869982,785,2,392.5,1.0
modify_Transition_in_Region,2,643,20,13,10.688594,1464,2,732.0,1.0
modify_Transition_in_Region,2,643,20,13,12.15769,1543,2,771.5,1.0
modify_Transition_in_Region,2,643,40,13,10.100116,1460,2,730.0,1.0
modify_Transition_in_Region,2,643,40,13,11.910014,1567,2,783.5,1.0
modify_Transition_in_Region,2,643,60,13,11.359778,1462,2,731.0,1.0
modify_Transition_in_Region,2,643,60,13,12.243104,1587,2,793.5,1.0
modify_Transition_in_Region,2,643,80,13,11.299143,1451,2,725.5,1.0
modify_Transition_in_Region,2,643,80,13,12.355049,1601,2,800.5,1.0
modify_Domain_in_Model,1,322,20,13,6.689814,685,2,342.5,1.0
modify_Domain_in_Model,1,322,20,13,4.356761,366,2,183.0,1.0
modify_Domain_in_Model,2,643,100,13,11.37989,1449,2,724.5,1.0
modify_Domain_in_Model,2,643,100,13,11.002858,1449,2,724.5,1.0
modify_Domain_in_Model,3,1285,20,13,25.404489,2922,2,1461.0,1.0
modify_Domain_in_Model,3,1285,20,13,24.631803,2922,2,1461.0,1.0
modify_Domain_in_Model,3,1285,40,13,26.444703,2923,2,1461.5,1.0
modify_Domain_in_Model,3,1285,40,13,23.387304,2923,2,1461.5,1.0
modify_Domain_in_Model,3,1285,60,13,27.474044,2909,2,1454.5,1.0
modify_Domain_in_Model,3,1285,60,13,24.492153,2910,2,1455.0,1.0
modify_Domain_in_Model,3,1285,80,13,24.413972,2905,2,1452.5,1.0
modify_Domain_in_Model,3,1285,80,13,24.475771,2905,2,1452.5,1.0
modify_Domain_in_Model,3,1285,100,13,24.409676,2889,2,1444.5,1.0
modify_Domain_in_Model,3,1285,100,13,25.022233,2889,2,1444.5,1.0
modify_Domain_in_Model,4,2569,20,13,68.161783,5859,2,2929.5,1.0
modify_Domain_in_Model,4,2569,20,13,66.602483,5859,2,2929.5,1.0
modify_Domain_in_Model,4,2569,40,13,65.25516,5848,2,2924.0,1.0
modify_Domain_in_Model,4,2569,40,13,66.245141,5848,2,2924.0,1.0
modify_Domain_in_Model,4,2569,60,13,64.51732,5838,2,2919.0,1.0
modify_Domain_in_Model,4,2569,60,13,61.675311,5838,2,2919.0,1.0
modify_Domain_in_Model,4,2569,80,13,63.676947,5848,2,2924.0,1.0
modify_Domain_in_Model,4,2569,80,13,61.808278,5848,2,2924.0,1.0
modify_Domain_in_Model,1,322,40,13,6.561995,682,2,341.0,1.0
modify_Domain_in_Model,1,322,40,13,4.285597,365,2,182.5,1.0
modify_Domain_in_Model,4,2569,100,13,60.998174,5837,2,2918.5,1.0
modify_Domain_in_Model,4,2569,100,13,62.563675,5837,2,2918.5,1.0
modify_Domain_in_Model,1,322,60,13,6.606876,681,2,340.5,1.0
modify_Domain_in_Model,1,322,60,13,4.449225,398,2,199.0,1.0
modify_Domain_in_Model,1,322,80,13,6.728503,682,2,341.0,1.0
modify_Domain_in_Model,1,322,80,13,4.583789,399,2,199.5,1.0
modify_Domain_in_Model,1,322,100,13,6.688162,675,2,337.5,1.0
modify_Domain_in_Model,1,322,100,13,4.339896,405,2,202.5,1.0
modify_Domain_in_Model,2,643,20,13,12.01239,1462,2,731.0,1.0
modify_Domain_in_Model,2,643,20,13,11.586924,1462,2,731.0,1.0
modify_Domain_in_Model,2,643,40,13,11.258313,1458,2,729.0,1.0
modify_Domain_in_Model,2,643,40,13,10.634186,1458,2,729.0,1.0
modify_Domain_in_Model,2,643,60,13,11.286508,1460,2,730.0,1.0
modify_Domain_in_Model,2,643,60,13,10.192438,1460,2,730.0,1.0
modify_Domain_in_Model,2,643,80,13,10.79217,1449,2,724.5,1.0
modify_Domain_in_Model,2,643,80,13,11.325858,1449,2,724.5,1.0
modify_Class_from_Domain,1,322,20,13,6.85268,687,2,343.5,1.0
modify_Class_from_Domain,1,322,20,13,6.674872,679,2,339.5,1.0
modify_Class_from_Domain,2,643,100,13,11.257255,1451,2,725.5,1.0
modify_Class_from_Domain,2,643,100,13,11.55773,1455,2,727.5,1.0
modify_Class_from_Domain,3,1285,20,13,25.678912,2924,2,1462.0,1.0
modify_Class_from_Domain,3,1285,20,13,24.794464,2932,2,1466.0,1.0
modify_Class_from_Domain,3,1285,40,13,25.013239,2925,2,1462.5,1.0
modify_Class_from_Domain,3,1285,40,13,25.236454,2933,2,1466.5,1.0
modify_Class_from_Domain,3,1285,60,13,25.006056,2911,2,1455.5,1.0
modify_Class_from_Domain,3,1285,60,13,25.412437,2920,2,1460.0,1.0
modify_Class_from_Domain,3,1285,80,13,25.973603,2907,2,1453.5,1.0
modify_Class_from_Domain,3,1285,80,13,24.933828,2915,2,1457.5,1.0
modify_Class_from_Domain,3,1285,100,13,26.9199,2891,2,1445.5,1.0
modify_Class_from_Domain,3,1285,100,13,24.05527,2899,2,1449.5,1.0
modify_Class_from_Domain,4,2569,20,13,68.602986,5861,2,2930.5,1.0
modify_Class_from_Domain,4,2569,20,13,65.412439,5877,2,2938.5,1.0
modify_Class_from_Domain,4,2569,40,13,64.274114,5850,2,2925.0,1.0
modify_Class_from_Domain,4,2569,40,13,62.91418,5866,2,2933.0,1.0
modify_Class_from_Domain,4,2569,60,13,62.799207,5840,2,2920.0,1.0
modify_Class_from_Domain,4,2569,60,13,63.534997,5856,2,2928.0,1.0
modify_Class_from_Domain,4,2569,80,13,66.492589,5850,2,2925.0,1.0
modify_Class_from_Domain,4,2569,80,13,62.880877,5866,2,2933.0,1.0
modify_Class_from_Domain,1,322,40,13,6.465561,684,2,342.0,1.0
modify_Class_from_Domain,1,322,40,13,6.187727,680,2,340.0,1.0
modify_Class_from_Domain,4,2569,100,13,63.849325,5839,2,2919.5,1.0
modify_Class_from_Domain,4,2569,100,13,62.567589,5855,2,2927.5,1.0
modify_Class_from_Domain,1,322,60,13,6.23701,683,2,341.5,1.0
modify_Class_from_Domain,1,322,60,13,6.118271,677,2,338.5,1.0
modify_Class_from_Domain,1,322,80,13,6.677211,684,2,342.0,1.0
modify_Class_from_Domain,1,322,80,13,6.542026,678,2,339.0,1.0
modify_Class_from_Domain,1,322,100,13,6.136884,677,2,338.5,1.0
modify_Class_from_Domain,1,322,100,13,6.223934,673,2,336.5,1.0
modify_Class_from_Domain,2,643,20,13,11.600717,1464,2,732.0,1.0
modify_Class_from_Domain,2,643,20,13,11.297156,1468,2,734.0,1.0
modify_Class_from_Domain,2,643,40,13,11.321994,1460,2,730.0,1.0
modify_Class_from_Domain,2,643,40,13,11.116084,1464,2,732.0,1.0
modify_Class_from_Domain,2,643,60,13,10.891023,1462,2,731.0,1.0
modify_Class_from_Domain,2,643,60,13,10.958168,1466,2,733.0,1.0
