Transformation Name, Clone Number, Input Size, Feature Number, Rules per Feature, Runtime, Clauses, Variables, Clauses/Variables, Slow-down Ratio
create_PROP_in_any_CLASS,1,322,20,13,7.218101,0,2,0.0,1.0
create_PROP_in_any_CLASS,2,643,100,13,14.038202,85,2,42.5,1.0
create_PROP_in_any_CLASS,3,1285,20,13,28.391945,197,2,98.5,1.0
create_PROP_in_any_CLASS,3,1285,40,13,29.019616,198,2,99.0,1.0
create_PROP_in_any_CLASS,3,1285,60,13,30.175847,185,2,92.5,1.0
create_PROP_in_any_CLASS,3,1285,80,13,29.355172,187,2,93.5,1.0
create_PROP_in_any_CLASS,3,1285,100,13,31.151062,176,2,88.0,1.0
create_PROP_in_any_CLASS,4,2569,20,13,78.722886,408,2,204.0,1.0
create_PROP_in_any_CLASS,4,2569,40,13,78.588164,395,2,197.5,1.0
create_PROP_in_any_CLASS,4,2569,60,13,82.635674,392,2,196.0,1.0
create_PROP_in_any_CLASS,4,2569,80,13,80.794838,403,2,201.5,1.0
create_PROP_in_any_CLASS,1,322,40,13,7.130569,0,2,0.0,1.0
create_PROP_in_any_CLASS,4,2569,100,13,80.12421,396,2,198.0,1.0
create_PROP_in_any_CLASS,1,322,60,13,7.497882,0,2,0.0,1.0
create_PROP_in_any_CLASS,1,322,80,13,8.105068,0,2,0.0,1.0
create_PROP_in_any_CLASS,1,322,100,13,7.652573,0,2,0.0,1.0
create_PROP_in_any_CLASS,2,643,20,13,12.933258,96,2,48.0,1.0
create_PROP_in_any_CLASS,2,643,40,13,12.300332,93,2,46.5,1.0
create_PROP_in_any_CLASS,2,643,60,13,13.553849,96,2,48.0,1.0
create_PROP_in_any_CLASS,2,643,80,13,14.202137,92,2,46.0,1.0
create_CLASS_in_any_DOMAIN,1,322,20,13,6.987558,0,2,0.0,1.0
create_CLASS_in_any_DOMAIN,2,643,100,13,13.316074,71,2,35.5,1.0
create_CLASS_in_any_DOMAIN,3,1285,20,13,26.103342,167,2,83.5,1.0
create_CLASS_in_any_DOMAIN,3,1285,40,13,25.383682,169,2,84.5,1.0
create_CLASS_in_any_DOMAIN,3,1285,60,13,24.755144,156,2,78.0,1.0
create_CLASS_in_any_DOMAIN,3,1285,80,13,25.666418,156,2,78.0,1.0
create_CLASS_in_any_DOMAIN,3,1285,100,13,23.30952,144,2,72.0,1.0
create_CLASS_in_any_DOMAIN,4,2569,20,13,65.0588,352,2,176.0,1.0
create_CLASS_in_any_DOMAIN,4,2569,40,13,66.926378,339,2,169.5,1.0
create_CLASS_in_any_DOMAIN,4,2569,60,13,68.071673,333,2,166.5,1.0
create_CLASS_in_any_DOMAIN,4,2569,80,13,62.829989,345,2,172.5,1.0
create_CLASS_in_any_DOMAIN,1,322,40,13,6.695674,0,2,0.0,1.0
create_CLASS_in_any_DOMAIN,4,2569,100,13,62.296882,336,2,168.0,1.0
create_CLASS_in_any_DOMAIN,1,322,60,13,6.523912,0,2,0.0,1.0
create_CLASS_in_any_DOMAIN,1,322,80,13,7.501379,0,2,0.0,1.0
create_CLASS_in_any_DOMAIN,1,322,100,13,7.341527,0,2,0.0,1.0
create_CLASS_in_any_DOMAIN,2,643,20,13,14.510897,82,2,41.0,1.0
create_CLASS_in_any_DOMAIN,2,643,40,13,12.754322,78,2,39.0,1.0
create_CLASS_in_any_DOMAIN,2,643,60,13,13.437586,82,2,41.0,1.0
create_CLASS_in_any_DOMAIN,2,643,80,13,12.870642,76,2,38.0,1.0
create_TRANSITION_in_any_REGION,1,322,20,13,8.037441,0,2,0.0,1.0
create_TRANSITION_in_any_REGION,2,643,100,13,14.423644,71,2,35.5,1.0
create_TRANSITION_in_any_REGION,3,1285,20,13,29.887894,167,2,83.5,1.0
create_TRANSITION_in_any_REGION,3,1285,40,13,29.924384,169,2,84.5,1.0
create_TRANSITION_in_any_REGION,3,1285,60,13,29.534897,156,2,78.0,1.0
create_TRANSITION_in_any_REGION,3,1285,80,13,32.105583,156,2,78.0,1.0
create_TRANSITION_in_any_REGION,3,1285,100,13,32.018809,144,2,72.0,1.0
