Transformation Name, Clone Number, Input Size, Feature Number, Rules per Feature, Runtime, Clauses, Variables, Clauses/Variables, Slow-down Ratio
create_PROP_in_any_CLASS,1,322,20,13,7.752668,1526,22,69.36363636363636,1.074059229705985
create_PROP_in_any_CLASS,2,643,100,13,18.49446,20912,102,205.01960784313727,1.3174379454007001
create_PROP_in_any_CLASS,3,1285,20,13,32.486377,3744,22,170.1818181818182,1.1442110429560215
create_PROP_in_any_CLASS,3,1285,40,13,35.442446,4776,42,113.71428571428571,1.2213271877891148
create_PROP_in_any_CLASS,3,1285,60,13,36.024907,5708,62,92.06451612903226,1.19383250451926
create_PROP_in_any_CLASS,3,1285,80,13,41.415094,6382,82,77.82926829268293,1.4108278432161803
create_PROP_in_any_CLASS,3,1285,100,13,48.135128,53926,102,528.6862745098039,1.5452162754515402
create_PROP_in_any_CLASS,4,2569,20,13,83.896069,6725,22,305.6818181818182,1.0657138382858575
create_PROP_in_any_CLASS,4,2569,40,13,95.064677,7740,42,184.28571428571428,1.209656418490703
create_PROP_in_any_CLASS,4,2569,60,13,96.101634,8723,62,140.69354838709677,1.1629557713778678
create_PROP_in_any_CLASS,4,2569,80,13,102.278382,9736,82,118.73170731707317,1.2659024330242483
create_PROP_in_any_CLASS,1,322,40,13,8.488568,4268,42,101.61904761904762,1.1904474944425893
create_PROP_in_any_CLASS,4,2569,100,13,107.036321,10607,102,103.99019607843137,1.3358798919827102
create_PROP_in_any_CLASS,1,322,60,13,8.571491,6978,62,112.54838709677419,1.1431883030434462
create_PROP_in_any_CLASS,1,322,80,13,9.076605,8060,82,98.29268292682927,1.119867840713983
create_PROP_in_any_CLASS,1,322,100,13,8.872589,9929,102,97.34313725490196,1.1594255945026593
create_PROP_in_any_CLASS,2,643,20,13,14.256965,2284,22,103.81818181818181,1.1023490755384295
create_PROP_in_any_CLASS,2,643,40,13,14.61881,3021,42,71.92857142857143,1.1884890586693109
create_PROP_in_any_CLASS,2,643,60,13,14.932112,3682,62,59.38709677419355,1.101687941189252
create_PROP_in_any_CLASS,2,643,80,13,17.458719,20227,82,246.67073170731706,1.2293022521892303
create_CLASS_in_any_DOMAIN,1,322,20,13,6.998209,1378,22,62.63636363636363,1.0015242807286895
create_CLASS_in_any_DOMAIN,2,643,100,13,15.421238,4633,102,45.42156862745098,1.1580919421144702
create_CLASS_in_any_DOMAIN,3,1285,20,13,26.568226,3713,22,168.77272727272728,1.0178093670917692
create_CLASS_in_any_DOMAIN,3,1285,40,13,30.210632,4746,42,113.0,1.190159567867262
create_CLASS_in_any_DOMAIN,3,1285,60,13,30.737159,5670,62,91.45161290322581,1.2416473521624434
create_CLASS_in_any_DOMAIN,3,1285,80,13,32.318161,6350,82,77.4390243902439,1.2591613290175514
create_CLASS_in_any_DOMAIN,3,1285,100,13,29.21877,7084,102,69.45098039215686,1.2535122988375564
create_CLASS_in_any_DOMAIN,4,2569,20,13,72.021341,6668,22,303.09090909090907,1.1070192041660776
create_CLASS_in_any_DOMAIN,4,2569,40,13,78.949289,7683,42,182.92857142857142,1.17964383191333
create_CLASS_in_any_DOMAIN,4,2569,60,13,80.012618,8663,62,139.7258064516129,1.1754172400023135
create_CLASS_in_any_DOMAIN,4,2569,80,13,80.581034,9669,82,117.91463414634147,1.282525037526268
create_CLASS_in_any_DOMAIN,1,322,40,13,6.891833,2008,42,47.80952380952381,1.0292963785273894
create_CLASS_in_any_DOMAIN,4,2569,100,13,90.825657,10538,102,103.31372549019608,1.4579486819260072
create_CLASS_in_any_DOMAIN,1,322,60,13,7.098889,2264,62,36.516129032258064,1.0881337761760121
create_CLASS_in_any_DOMAIN,1,322,80,13,7.632256,2349,82,28.646341463414632,1.017447058734134
create_CLASS_in_any_DOMAIN,1,322,100,13,7.345775,2357,102,23.107843137254903,1.0005786262176792
create_CLASS_in_any_DOMAIN,2,643,20,13,14.097483,2199,22,99.95454545454545,0.9715101003059976
create_CLASS_in_any_DOMAIN,2,643,40,13,14.326067,3005,42,71.54761904761905,1.123232344298662
create_CLASS_in_any_DOMAIN,2,643,60,13,14.430639,3667,62,59.145161290322584,1.073901145637319
create_CLASS_in_any_DOMAIN,2,643,80,13,17.408563,4300,82,52.4390243902439,1.352579226428643
create_TRANSITION_in_any_REGION,1,322,20,13,9.184907,1411,22,64.13636363636364,1.142765091526022
create_TRANSITION_in_any_REGION,2,643,100,13,18.933827,20555,102,201.51960784313727,1.3126937270498358
create_TRANSITION_in_any_REGION,3,1285,20,13,33.079896,3713,22,168.77272727272728,1.1067991608910284
create_TRANSITION_in_any_REGION,3,1285,40,13,34.091724,4752,42,113.14285714285714,1.139262348725374
create_TRANSITION_in_any_REGION,3,1285,60,13,36.700703,5670,62,91.45161290322581,1.2426216688685252
create_TRANSITION_in_any_REGION,3,1285,80,13,39.945866,6383,82,77.84146341463415,1.2442031032421994
create_TRANSITION_in_any_REGION,3,1285,100,13,36.838328,7132,102,69.92156862745098,1.150521495037495
create_TRANSITION_in_any_REGION,4,2569,20,13,84.347231,6668,22,303.09090909090907,1.090422241382912
create_TRANSITION_in_any_REGION,4,2569,40,13,106.321115,7683,42,182.92857142857142,1.396155106373245
create_TRANSITION_in_any_REGION,4,2569,60,13,91.963848,8682,62,140.03225806451613,1.1993131024703525
create_TRANSITION_in_any_REGION,4,2569,80,13,98.456631,9700,82,118.29268292682927,1.2122984386376847
create_TRANSITION_in_any_REGION,1,322,40,13,8.452312,2151,42,51.214285714285715,1.0736381640144048
create_TRANSITION_in_any_REGION,4,2569,100,13,101.551882,10569,102,103.61764705882354,1.2950816287384397
create_TRANSITION_in_any_REGION,1,322,60,13,9.742896,8511,62,137.2741935483871,1.1356193136837118
create_TRANSITION_in_any_REGION,1,322,80,13,8.79903,8433,82,102.84146341463415,1.0634002660485697
create_TRANSITION_in_any_REGION,1,322,100,13,9.326561,8998,102,88.2156862745098,1.1918915610054328
create_TRANSITION_in_any_REGION,2,643,20,13,14.983696,2230,22,101.36363636363636,1.0779538920759502
create_TRANSITION_in_any_REGION,2,643,40,13,15.998947,3022,42,71.95238095238095,1.1976542547334224
create_TRANSITION_in_any_REGION,2,643,60,13,16.744994,3675,62,59.274193548387096,1.2112800924001965
create_TRANSITION_in_any_REGION,2,643,80,13,18.189445,4348,82,53.02439024390244,1.3568852989636258
create_COMMENT_in_any_DOMAIN,1,322,20,13,8.540461,1378,22,62.63636363636363,1.1744460118158844
create_COMMENT_in_any_DOMAIN,2,643,100,13,17.174591,4633,102,45.42156862745098,1.270124445578401
create_COMMENT_in_any_DOMAIN,3,1285,20,13,29.493937,3713,22,168.77272727272728,1.0359777353177662
create_COMMENT_in_any_DOMAIN,3,1285,40,13,28.846017,4746,42,113.0,1.0302789541306836
create_COMMENT_in_any_DOMAIN,3,1285,60,13,29.649959,5670,62,91.45161290322581,1.0930328551753425
create_COMMENT_in_any_DOMAIN,3,1285,80,13,30.786488,6350,82,77.4390243902439,1.1748108458973379
create_COMMENT_in_any_DOMAIN,3,1285,100,13,32.572588,7084,102,69.45098039215686,1.2662705165592245
create_COMMENT_in_any_DOMAIN,4,2569,20,13,74.356088,6668,22,303.09090909090907,1.0186551657973164
create_COMMENT_in_any_DOMAIN,4,2569,40,13,78.145156,7683,42,182.92857142857142,0.003771820864512896
create_COMMENT_in_any_DOMAIN,4,2569,60,13,77.032081,8663,62,139.7258064516129,1.0180496799051755
create_COMMENT_in_any_DOMAIN,4,2569,80,13,81.123551,9669,82,117.91463414634147,1.2591103557883374
create_COMMENT_in_any_DOMAIN,1,322,40,13,7.034958,2008,42,47.80952380952381,1.0838232520992555
create_COMMENT_in_any_DOMAIN,4,2569,100,13,83.20645,10538,102,103.31372549019608,1.3190847396627403
create_COMMENT_in_any_DOMAIN,1,322,60,13,7.174431,2264,62,36.516129032258064,1.0541753946087766
create_COMMENT_in_any_DOMAIN,1,322,80,13,6.917076,2349,82,28.646341463414632,0.9794826343757668
create_COMMENT_in_any_DOMAIN,1,322,100,13,7.244838,2357,102,23.107843137254903,1.0725074155664645
create_COMMENT_in_any_DOMAIN,2,643,20,13,13.368171,2199,22,99.95454545454545,1.1077810430162087
create_COMMENT_in_any_DOMAIN,2,643,40,13,15.739313,3005,42,71.54761904761905,1.3758933316176167
create_COMMENT_in_any_DOMAIN,2,643,60,13,16.099936,3667,62,59.145161290322584,1.3606462030298414
create_COMMENT_in_any_DOMAIN,2,643,80,13,15.922052,4300,82,52.4390243902439,1.1216150979240327
delete_COMMENT_from_MODEL,1,322,20,13,9.569046,1375,22,62.5,1.372402662640551
delete_COMMENT_from_MODEL,2,643,100,13,15.566861,4629,102,45.38235294117647,1.3905338520346933
delete_COMMENT_from_MODEL,3,1285,20,13,30.758079,3710,22,168.63636363636363,1.150922835084085
delete_COMMENT_from_MODEL,3,1285,40,13,34.564586,4743,42,112.92857142857143,1.3528367249569564
delete_COMMENT_from_MODEL,3,1285,60,13,33.49027,5667,62,91.40322580645162,1.2774220617669974
delete_COMMENT_from_MODEL,3,1285,80,13,31.78509,6347,82,77.40243902439025,1.282470137413351
delete_COMMENT_from_MODEL,3,1285,100,13,34.985875,7081,102,69.42156862745098,1.363271337634022
delete_COMMENT_from_MODEL,4,2569,20,13,84.302773,6665,22,302.95454545454544,1.271126532533504
delete_COMMENT_from_MODEL,4,2569,40,13,85.316859,7680,42,182.85714285714286,1.27285312370805
delete_COMMENT_from_MODEL,4,2569,60,13,86.236232,8660,62,139.67741935483872,1.2386001081524391
delete_COMMENT_from_MODEL,4,2569,80,13,99.573882,9666,82,117.8780487804878,1.4879535378508024
delete_COMMENT_from_MODEL,1,322,40,13,8.609901,2000,42,47.61904761904762,1.1231670544311798
delete_COMMENT_from_MODEL,4,2569,100,13,91.298566,10535,102,103.2843137254902,1.411019649259516
delete_COMMENT_from_MODEL,1,322,60,13,7.500613,2256,62,36.38709677419355,1.0409213816088942
delete_COMMENT_from_MODEL,1,322,80,13,7.058769,2341,82,28.548780487804876,0.8551228611537401
delete_COMMENT_from_MODEL,1,322,100,13,7.6156,2346,102,23.0,1.1580378985374138
delete_COMMENT_from_MODEL,2,643,20,13,12.592659,2196,22,99.81818181818181,1.0917986215549929
delete_COMMENT_from_MODEL,2,643,40,13,12.41594,3002,42,71.47619047619048,1.0545984997720235
delete_COMMENT_from_MODEL,2,643,60,13,12.785923,3663,62,59.08064516129032,1.0779387454626144
delete_COMMENT_from_MODEL,2,643,80,13,14.017659,4295,82,52.3780487804878,1.1966772063557758
delete_Class_from_Domain,1,322,20,13,7.215089,1375,22,62.5,1.0607373820118802
delete_Class_from_Domain,2,643,100,13,13.922216,4629,102,45.38235294117647,1.2165064838562432
delete_Class_from_Domain,3,1285,20,13,30.6193,3708,22,168.54545454545453,1.1209314648225763
delete_Class_from_Domain,3,1285,40,13,29.733301,4741,42,112.88095238095238,1.1536350193067886
delete_Class_from_Domain,3,1285,60,13,30.416713,5665,62,91.37096774193549,1.1968654711618687
delete_Class_from_Domain,3,1285,80,13,32.588461,6347,82,77.40243902439025,1.175606962360511
delete_Class_from_Domain,3,1285,100,13,30.636335,7081,102,69.42156862745098,1.1548413203707242
delete_Class_from_Domain,4,2569,20,13,79.041448,6663,22,302.8636363636364,1.1715101538604555
delete_Class_from_Domain,4,2569,40,13,77.751049,7678,42,182.8095238095238,1.1335817450050507
delete_Class_from_Domain,4,2569,60,13,78.125386,8658,62,139.6451612903226,1.1190454507106065
delete_Class_from_Domain,4,2569,80,13,86.554103,9664,82,117.85365853658537,1.223834295120628
delete_Class_from_Domain,1,322,40,13,8.700737,2000,42,47.61904761904762,1.2067008943115252
delete_Class_from_Domain,4,2569,100,13,103.426127,10533,102,103.26470588235294,1.506255212762256
delete_Class_from_Domain,1,322,60,13,7.804297,2255,62,36.37096774193548,1.0757529225760296
delete_Class_from_Domain,1,322,80,13,7.825919,2340,82,28.536585365853657,1.0375593477229341
delete_Class_from_Domain,1,322,100,13,7.639403,2345,102,22.99019607843137,1.0520690954927847
delete_Class_from_Domain,2,643,20,13,13.460449,2194,22,99.72727272727273,1.0914153076188464
delete_Class_from_Domain,2,643,40,13,12.833314,3000,42,71.42857142857143,1.0540863759650858
delete_Class_from_Domain,2,643,60,13,13.265329,3663,62,59.08064516129032,1.028020198449088
delete_Class_from_Domain,2,643,80,13,15.15361,4295,82,52.3780487804878,1.1957280619995512
delete_Domain_from_Model,1,322,20,13,8.023363,1375,22,62.5,1.0462729565217164
delete_Domain_from_Model,2,643,100,13,15.404965,4629,102,45.38235294117647,1.1809795245053618
delete_Domain_from_Model,3,1285,20,13,30.976562,3710,22,168.63636363636363,1.0231411461945594
delete_Domain_from_Model,3,1285,40,13,31.767744,4743,42,112.92857142857143,1.1567036592954494
delete_Domain_from_Model,3,1285,60,13,35.742837,5667,62,91.40322580645162,1.3528616316351005
delete_Domain_from_Model,3,1285,80,13,35.768471,6347,82,77.40243902439025,1.3141002481283097
delete_Domain_from_Model,3,1285,100,13,35.574963,7081,102,69.42156862745098,1.2688017081815808
delete_Domain_from_Model,4,2569,20,13,86.680654,6665,22,302.95454545454544,1.1752928301753047
delete_Domain_from_Model,4,2569,40,13,85.42564,7680,42,182.85714285714286,1.2244176212477902
delete_Domain_from_Model,4,2569,60,13,83.496155,8660,62,139.67741935483872,1.1589827338599643
delete_Domain_from_Model,4,2569,80,13,88.181021,9666,82,117.8780487804878,1.2794204869759245
delete_Domain_from_Model,1,322,40,13,7.210946,2000,42,47.61904761904762,0.9543520885459025
delete_Domain_from_Model,4,2569,100,13,84.923521,10535,102,103.2843137254902,1.2469951518832774
delete_Domain_from_Model,1,322,60,13,7.250272,2256,62,36.38709677419355,0.9791859879825299
delete_Domain_from_Model,1,322,80,13,7.529465,2341,82,28.548780487804876,1.0829053899153491
delete_Domain_from_Model,1,322,100,13,7.429309,2346,102,23.0,0.9581777761785167
delete_Domain_from_Model,2,643,20,13,12.754536,2196,22,99.81818181818181,0.8315604141980008
delete_Domain_from_Model,2,643,40,13,13.074604,3002,42,71.47619047619048,1.043931734457881
delete_Domain_from_Model,2,643,60,13,13.529081,3663,62,59.08064516129032,1.0215074774820827
delete_Domain_from_Model,2,643,80,13,13.93573,4295,82,52.3780487804878,1.0925931007555627
delete_Transition_from_Region,1,322,20,13,7.341933,1375,22,62.5,0.9681554137023065
delete_Transition_from_Region,2,643,100,13,14.21643,4629,102,45.38235294117647,1.1903057651975202
delete_Transition_from_Region,3,1285,20,13,29.988,3710,22,168.63636363636363,1.0869398171412599
delete_Transition_from_Region,3,1285,40,13,29.630318,4741,42,112.88095238095238,1.048805273887089
delete_Transition_from_Region,3,1285,60,13,31.611507,5665,62,91.37096774193549,1.1459826775266762
delete_Transition_from_Region,3,1285,80,13,32.401889,6347,82,77.40243902439025,1.1272063822044247
delete_Transition_from_Region,3,1285,100,13,32.389464,7079,102,69.40196078431373,1.0909364283073149
delete_Transition_from_Region,4,2569,20,13,71.420127,6663,22,302.8636363636364,0.9595653297705246
delete_Transition_from_Region,4,2569,40,13,77.061778,7678,42,182.8095238095238,1.0825996007988519
delete_Transition_from_Region,4,2569,60,13,77.403558,8660,62,139.67741935483872,1.0270037697134031
delete_Transition_from_Region,4,2569,80,13,84.92601,9664,82,117.85365853658537,1.1658533794924786
delete_Transition_from_Region,1,322,40,13,7.519062,1998,42,47.57142857142857,1.0564145145858184
delete_Transition_from_Region,4,2569,100,13,87.680124,10533,102,103.26470588235294,1.3219680427643996
delete_Transition_from_Region,1,322,60,13,8.301441,2256,62,36.38709677419355,1.1249798250241796
delete_Transition_from_Region,1,322,80,13,7.946503,2341,82,28.548780487804876,1.1746983392360184
delete_Transition_from_Region,1,322,100,13,7.980081,2348,102,23.019607843137255,1.1327673623226096
delete_Transition_from_Region,2,643,20,13,13.533302,2196,22,99.81818181818181,1.0851765607735029
delete_Transition_from_Region,2,643,40,13,13.72608,3000,42,71.42857142857143,1.056934445959671
delete_Transition_from_Region,2,643,60,13,14.745515,3663,62,59.08064516129032,1.0832399504628787
delete_Transition_from_Region,2,643,80,13,13.729303,4295,82,52.3780487804878,1.1173192709434958
