Transformation Name, Clone Number, Input Size, Feature Number, Rules per Feature, Runtime, Clauses, Variables, Clauses/Variables, Slow-down Ratio
modify_Transition_in_Region,1,322,20,13,15.281883,2128,22,96.72727272727273,1.0
modify_Transition_in_Region,2,643,100,13,28.566915,22237,102,218.00980392156862,1.0
modify_Transition_in_Region,3,1285,20,13,57.303153,6578,22,299.0,1.0
modify_Transition_in_Region,3,1285,40,13,59.191046,7636,42,181.8095238095238,1.0
modify_Transition_in_Region,3,1285,60,13,59.796618,8587,62,138.5,1.0
modify_Transition_in_Region,3,1285,80,13,64.529372,9353,82,114.0609756097561,1.0
modify_Transition_in_Region,3,1285,100,13,68.58946800000001,10093,102,98.95098039215686,1.0
modify_Transition_in_Region,4,2569,20,13,146.229525,12347,22,561.2272727272727,1.0
modify_Transition_in_Region,4,2569,40,13,153.544731,13386,42,318.7142857142857,1.0
modify_Transition_in_Region,4,2569,60,13,158.327091,14431,62,232.75806451612902,1.0
modify_Transition_in_Region,4,2569,80,13,174.96609,15485,82,188.84146341463415,1.0
modify_Transition_in_Region,1,322,40,13,15.316556,2888,42,68.76190476190476,1.0
modify_Transition_in_Region,4,2569,100,13,187.08272,16412,102,160.90196078431373,1.0
modify_Transition_in_Region,1,322,60,13,16.156696,9347,62,150.75806451612902,1.0
modify_Transition_in_Region,1,322,80,13,15.813202,9196,82,112.14634146341463,1.0
modify_Transition_in_Region,1,322,100,13,15.919518,9772,102,95.80392156862744,1.0
modify_Transition_in_Region,2,643,20,13,27.481354,3676,22,167.0909090909091,1.0
modify_Transition_in_Region,2,643,40,13,28.147861,4499,42,107.11904761904762,1.0
modify_Transition_in_Region,2,643,60,13,29.531824,5165,62,83.30645161290323,1.0
modify_Transition_in_Region,2,643,80,13,31.589826000000002,5860,82,71.46341463414635,1.0
modify_Domain_in_Model,1,322,20,13,14.764445,1214,22,55.18181818181818,1.0
modify_Domain_in_Model,2,643,100,13,29.229588999999997,5983,102,58.65686274509804,1.0
modify_Domain_in_Model,3,1285,20,13,59.371925000000005,6450,22,293.1818181818182,1.0
modify_Domain_in_Model,3,1285,40,13,57.203972,7480,42,178.0952380952381,1.0
modify_Domain_in_Model,3,1285,60,13,55.726557,8403,62,135.53225806451613,1.0
modify_Domain_in_Model,3,1285,80,13,59.185105,9085,82,110.79268292682927,1.0
modify_Domain_in_Model,3,1285,100,13,61.835657,9809,102,96.16666666666667,1.0
modify_Domain_in_Model,4,2569,20,13,144.896548,12153,22,552.4090909090909,1.0
modify_Domain_in_Model,4,2569,40,13,151.32676199999997,13170,42,313.57142857142856,1.0
modify_Domain_in_Model,4,2569,60,13,154.236413,14144,62,228.1290322580645,1.0
modify_Domain_in_Model,4,2569,80,13,167.298011,15150,82,184.7560975609756,1.0
modify_Domain_in_Model,1,322,40,13,14.365764,1495,42,35.595238095238095,1.0
modify_Domain_in_Model,4,2569,100,13,178.523156,16019,102,157.04901960784315,1.0
modify_Domain_in_Model,1,322,60,13,14.228276000000001,1840,62,29.677419354838708,1.0
modify_Domain_in_Model,1,322,80,13,14.452983,1876,82,22.878048780487806,1.0
modify_Domain_in_Model,1,322,100,13,14.518360000000001,1933,102,18.95098039215686,1.0
modify_Domain_in_Model,2,643,20,13,25.824941,3563,22,161.95454545454547,1.0
modify_Domain_in_Model,2,643,40,13,26.524089,4371,42,104.07142857142857,1.0
modify_Domain_in_Model,2,643,60,13,27.728878,5030,62,81.12903225806451,1.0
modify_Domain_in_Model,2,643,80,13,30.122306000000002,5661,82,69.03658536585365,1.0
modify_Class_from_Domain,1,322,20,13,14.923623,2043,22,92.86363636363636,1.0
modify_Class_from_Domain,2,643,100,13,29.195134,5992,102,58.745098039215684,1.0
modify_Class_from_Domain,3,1285,20,13,58.490954,6463,22,293.77272727272725,1.0
modify_Class_from_Domain,3,1285,40,13,63.9182,7493,42,178.4047619047619,1.0
modify_Class_from_Domain,3,1285,60,13,67.407089,8416,62,135.74193548387098,1.0
modify_Class_from_Domain,3,1285,80,13,67.14954800000001,9098,82,110.95121951219512,1.0
modify_Class_from_Domain,3,1285,100,13,67.09722400000001,9820,102,96.27450980392157,1.0
modify_Class_from_Domain,4,2569,20,13,152.976785,12174,22,553.3636363636364,1.0
modify_Class_from_Domain,4,2569,40,13,160.81072999999998,13191,42,314.07142857142856,1.0
modify_Class_from_Domain,4,2569,60,13,163.786995,14165,62,228.46774193548387,1.0
modify_Class_from_Domain,4,2569,80,13,167.014826,15171,82,185.0121951219512,1.0
modify_Class_from_Domain,1,322,40,13,14.920684999999999,2660,42,63.333333333333336,1.0
modify_Class_from_Domain,4,2569,100,13,174.797426,16040,102,157.2549019607843,1.0
modify_Class_from_Domain,1,322,60,13,14.694659,2895,62,46.693548387096776,1.0
modify_Class_from_Domain,1,322,80,13,15.076872999999999,2983,82,36.3780487804878,1.0
modify_Class_from_Domain,1,322,100,13,15.074031,3000,102,29.41176470588235,1.0
modify_Class_from_Domain,2,643,20,13,26.434894,3572,22,162.36363636363637,1.0
modify_Class_from_Domain,2,643,40,13,26.397108,4380,42,104.28571428571429,1.0
modify_Class_from_Domain,2,643,60,13,27.426764,5040,62,81.29032258064517,1.0
modify_Class_from_Domain,2,643,80,13,29.60248,5668,82,69.1219512195122,1.0
modify_Comment_in_Model,1,322,20,13,14.597316,2057,22,93.5,1.0
modify_Comment_in_Model,2,643,100,13,28.192579000000002,5983,102,58.65686274509804,1.0
modify_Comment_in_Model,3,1285,20,13,62.228803,6450,22,293.1818181818182,1.0
modify_Comment_in_Model,3,1285,40,13,64.108766,7480,42,178.0952380952381,1.0
