Transformation Name, Clone Number, Input Size, Feature Number, Rules per Feature, Runtime, Clauses, Variables, Clauses/Variables, Slow-down Ratio
modify_Transition_in_Region,1,322,20,13,7.976634,2059,22,93.5909090909091,1.0
modify_Transition_in_Region,1,322,20,13,7.305249,2128,22,96.72727272727273,1.0
modify_Transition_in_Region,2,643,100,13,13.437013,5986,102,58.68627450980392,1.0
modify_Transition_in_Region,2,643,100,13,15.129902,22237,102,218.00980392156862,1.0
modify_Transition_in_Region,3,1285,20,13,27.930071,6452,22,293.27272727272725,1.0
modify_Transition_in_Region,3,1285,20,13,29.373082,6578,22,299.0,1.0
modify_Transition_in_Region,3,1285,40,13,29.002213,7480,42,178.0952380952381,1.0
modify_Transition_in_Region,3,1285,40,13,30.188833,7636,42,181.8095238095238,1.0
modify_Transition_in_Region,3,1285,60,13,28.56772,8403,62,135.53225806451613,1.0
modify_Transition_in_Region,3,1285,60,13,31.228898,8587,62,138.5,1.0
modify_Transition_in_Region,3,1285,80,13,30.849728,9087,82,110.8170731707317,1.0
modify_Transition_in_Region,3,1285,80,13,33.679644,9353,82,114.0609756097561,1.0
modify_Transition_in_Region,3,1285,100,13,32.530867,9809,102,96.16666666666667,1.0
modify_Transition_in_Region,3,1285,100,13,36.058601,10093,102,98.95098039215686,1.0
modify_Transition_in_Region,4,2569,20,13,70.847382,12153,22,552.4090909090909,1.0
modify_Transition_in_Region,4,2569,20,13,75.382143,12347,22,561.2272727272727,1.0
modify_Transition_in_Region,4,2569,40,13,73.676222,13170,42,313.57142857142856,1.0
modify_Transition_in_Region,4,2569,40,13,79.868509,13386,42,318.7142857142857,1.0
modify_Transition_in_Region,4,2569,60,13,75.70614,14146,62,228.16129032258064,1.0
modify_Transition_in_Region,4,2569,60,13,82.620951,14431,62,232.75806451612902,1.0
modify_Transition_in_Region,4,2569,80,13,81.180379,15150,82,184.7560975609756,1.0
modify_Transition_in_Region,4,2569,80,13,93.785711,15485,82,188.84146341463415,1.0
modify_Transition_in_Region,1,322,40,13,7.459771,2675,42,63.69047619047619,1.0
modify_Transition_in_Region,1,322,40,13,7.856785,2888,42,68.76190476190476,1.0
modify_Transition_in_Region,4,2569,100,13,88.892819,16019,102,157.04901960784315,1.0
modify_Transition_in_Region,4,2569,100,13,98.189901,16412,102,160.90196078431373,1.0
modify_Transition_in_Region,1,322,60,13,7.31588,2928,62,47.225806451612904,1.0
modify_Transition_in_Region,1,322,60,13,8.840816,9347,62,150.75806451612902,1.0
modify_Transition_in_Region,1,322,80,13,7.427872,3016,82,36.78048780487805,1.0
modify_Transition_in_Region,1,322,80,13,8.38533,9196,82,112.14634146341463,1.0
modify_Transition_in_Region,1,322,100,13,7.785935,3022,102,29.627450980392158,1.0
modify_Transition_in_Region,1,322,100,13,8.133583,9772,102,95.80392156862744,1.0
modify_Transition_in_Region,2,643,20,13,13.543917,3565,22,162.04545454545453,1.0
modify_Transition_in_Region,2,643,20,13,13.937437,3676,22,167.0909090909091,1.0
modify_Transition_in_Region,2,643,40,13,13.776999,4371,42,104.07142857142857,1.0
modify_Transition_in_Region,2,643,40,13,14.370862,4499,42,107.11904761904762,1.0
modify_Transition_in_Region,2,643,60,13,13.837117,5033,62,81.1774193548387,1.0
modify_Transition_in_Region,2,643,60,13,15.694707,5165,62,83.30645161290323,1.0
modify_Transition_in_Region,2,643,80,13,14.794164,5661,82,69.03658536585365,1.0
modify_Transition_in_Region,2,643,80,13,16.795662,5860,82,71.46341463414635,1.0
modify_Domain_in_Model,1,322,20,13,7.726667,2059,22,93.5909090909091,1.0
modify_Domain_in_Model,1,322,20,13,7.037778,1214,22,55.18181818181818,1.0
modify_Domain_in_Model,2,643,100,13,14.730319,5986,102,58.68627450980392,1.0
modify_Domain_in_Model,2,643,100,13,14.49927,5983,102,58.65686274509804,1.0
modify_Domain_in_Model,3,1285,20,13,30.308978,6452,22,293.27272727272725,1.0
modify_Domain_in_Model,3,1285,20,13,29.062947,6450,22,293.1818181818182,1.0
modify_Domain_in_Model,3,1285,40,13,30.003257,7482,42,178.14285714285714,1.0
modify_Domain_in_Model,3,1285,40,13,27.200715,7480,42,178.0952380952381,1.0
modify_Domain_in_Model,3,1285,60,13,28.527044,8405,62,135.56451612903226,1.0
modify_Domain_in_Model,3,1285,60,13,27.199513,8403,62,135.53225806451613,1.0
modify_Domain_in_Model,3,1285,80,13,27.945727,9087,82,110.8170731707317,1.0
modify_Domain_in_Model,3,1285,80,13,31.239378,9085,82,110.79268292682927,1.0
modify_Domain_in_Model,3,1285,100,13,30.309101,9811,102,96.18627450980392,1.0
modify_Domain_in_Model,3,1285,100,13,31.526556,9809,102,96.16666666666667,1.0
modify_Domain_in_Model,4,2569,20,13,73.978097,12155,22,552.5,1.0
modify_Domain_in_Model,4,2569,20,13,70.918451,12153,22,552.4090909090909,1.0
modify_Domain_in_Model,4,2569,40,13,75.032885,13172,42,313.6190476190476,1.0
modify_Domain_in_Model,4,2569,40,13,76.293877,13170,42,313.57142857142856,1.0
modify_Domain_in_Model,4,2569,60,13,76.558202,14146,62,228.16129032258064,1.0
modify_Domain_in_Model,4,2569,60,13,77.678211,14144,62,228.1290322580645,1.0
modify_Domain_in_Model,4,2569,80,13,85.014557,15152,82,184.78048780487805,1.0
modify_Domain_in_Model,4,2569,80,13,82.283454,15150,82,184.7560975609756,1.0
modify_Domain_in_Model,1,322,40,13,7.557685,2677,42,63.73809523809524,1.0
modify_Domain_in_Model,1,322,40,13,6.808079,1495,42,35.595238095238095,1.0
modify_Domain_in_Model,4,2569,100,13,89.640631,16021,102,157.0686274509804,1.0
modify_Domain_in_Model,4,2569,100,13,88.882525,16019,102,157.04901960784315,1.0
modify_Domain_in_Model,1,322,60,13,7.463534,2928,62,47.225806451612904,1.0
modify_Domain_in_Model,1,322,60,13,6.764742,1840,62,29.677419354838708,1.0
modify_Domain_in_Model,1,322,80,13,7.710935,3016,82,36.78048780487805,1.0
modify_Domain_in_Model,1,322,80,13,6.742048,1876,82,22.878048780487806,1.0
modify_Domain_in_Model,1,322,100,13,7.859706,3019,102,29.598039215686274,1.0
modify_Domain_in_Model,1,322,100,13,6.658654,1933,102,18.95098039215686,1.0
modify_Domain_in_Model,2,643,20,13,13.532103,3565,22,162.04545454545453,1.0
modify_Domain_in_Model,2,643,20,13,12.292838,3563,22,161.95454545454547,1.0
modify_Domain_in_Model,2,643,40,13,13.762703,4373,42,104.11904761904762,1.0
modify_Domain_in_Model,2,643,40,13,12.761386,4371,42,104.07142857142857,1.0
modify_Domain_in_Model,2,643,60,13,13.912269,5033,62,81.1774193548387,1.0
modify_Domain_in_Model,2,643,60,13,13.816609,5030,62,81.12903225806451,1.0
modify_Domain_in_Model,2,643,80,13,15.17078,5661,82,69.03658536585365,1.0
modify_Domain_in_Model,2,643,80,13,14.951526,5661,82,69.03658536585365,1.0
modify_Class_from_Domain,1,322,20,13,7.664358,2059,22,93.5909090909091,1.0
modify_Class_from_Domain,1,322,20,13,7.259265,2043,22,92.86363636363636,1.0
modify_Class_from_Domain,2,643,100,13,14.797562,5986,102,58.68627450980392,1.0
modify_Class_from_Domain,2,643,100,13,14.397572,5992,102,58.745098039215684,1.0
modify_Class_from_Domain,3,1285,20,13,29.444746,6450,22,293.1818181818182,1.0
modify_Class_from_Domain,3,1285,20,13,29.046208,6463,22,293.77272727272725,1.0
modify_Class_from_Domain,3,1285,40,13,32.827558,7480,42,178.0952380952381,1.0
modify_Class_from_Domain,3,1285,40,13,31.090642,7493,42,178.4047619047619,1.0
modify_Class_from_Domain,3,1285,60,13,34.403534,8403,62,135.53225806451613,1.0
modify_Class_from_Domain,3,1285,60,13,33.003555,8416,62,135.74193548387098,1.0
modify_Class_from_Domain,3,1285,80,13,34.082791,9087,82,110.8170731707317,1.0
modify_Class_from_Domain,3,1285,80,13,33.066757,9098,82,110.95121951219512,1.0
modify_Class_from_Domain,3,1285,100,13,34.521861,9811,102,96.18627450980392,1.0
modify_Class_from_Domain,3,1285,100,13,32.575363,9820,102,96.27450980392157,1.0
modify_Class_from_Domain,4,2569,20,13,74.120389,12153,22,552.4090909090909,1.0
modify_Class_from_Domain,4,2569,20,13,78.856396,12174,22,553.3636363636364,1.0
modify_Class_from_Domain,4,2569,40,13,79.417994,13170,42,313.57142857142856,1.0
modify_Class_from_Domain,4,2569,40,13,81.392736,13191,42,314.07142857142856,1.0
modify_Class_from_Domain,4,2569,60,13,82.006654,14144,62,228.1290322580645,1.0
modify_Class_from_Domain,4,2569,60,13,81.780341,14165,62,228.46774193548387,1.0
modify_Class_from_Domain,4,2569,80,13,84.592672,15150,82,184.7560975609756,1.0
modify_Class_from_Domain,4,2569,80,13,82.422154,15171,82,185.0121951219512,1.0
modify_Class_from_Domain,1,322,40,13,7.529667,2677,42,63.73809523809524,1.0
modify_Class_from_Domain,1,322,40,13,7.391018,2660,42,63.333333333333336,1.0
modify_Class_from_Domain,4,2569,100,13,91.157706,16019,102,157.04901960784315,1.0
modify_Class_from_Domain,4,2569,100,13,83.63972,16040,102,157.2549019607843,1.0
modify_Class_from_Domain,1,322,60,13,7.359932,2927,62,47.20967741935484,1.0
modify_Class_from_Domain,1,322,60,13,7.334727,2895,62,46.693548387096776,1.0
modify_Class_from_Domain,1,322,80,13,7.566212,3015,82,36.76829268292683,1.0
modify_Class_from_Domain,1,322,80,13,7.510661,2983,82,36.3780487804878,1.0
modify_Class_from_Domain,1,322,100,13,7.806679,3018,102,29.58823529411765,1.0
modify_Class_from_Domain,1,322,100,13,7.267352,3000,102,29.41176470588235,1.0
modify_Class_from_Domain,2,643,20,13,13.10679,3563,22,161.95454545454547,1.0
modify_Class_from_Domain,2,643,20,13,13.328104,3572,22,162.36363636363637,1.0
modify_Class_from_Domain,2,643,40,13,13.481116,4371,42,104.07142857142857,1.0
modify_Class_from_Domain,2,643,40,13,12.915992,4380,42,104.28571428571429,1.0
modify_Class_from_Domain,2,643,60,13,14.254236,5033,62,81.1774193548387,1.0
modify_Class_from_Domain,2,643,60,13,13.172528,5040,62,81.29032258064517,1.0
modify_Class_from_Domain,2,643,80,13,14.823021,5661,82,69.03658536585365,1.0
modify_Class_from_Domain,2,643,80,13,14.779459,5668,82,69.1219512195122,1.0
modify_Comment_in_Model,1,322,20,13,7.337623,2059,22,93.5909090909091,1.0
modify_Comment_in_Model,1,322,20,13,7.259693,2057,22,93.5,1.0
modify_Comment_in_Model,2,643,100,13,14.229189,5986,102,58.68627450980392,1.0
modify_Comment_in_Model,2,643,100,13,13.96339,5983,102,58.65686274509804,1.0
modify_Comment_in_Model,3,1285,20,13,32.206016,6452,22,293.27272727272725,1.0
modify_Comment_in_Model,3,1285,20,13,30.022787,6450,22,293.1818181818182,1.0
modify_Comment_in_Model,3,1285,40,13,32.471433,7482,42,178.14285714285714,1.0
modify_Comment_in_Model,3,1285,40,13,31.637333,7480,42,178.0952380952381,1.0
modify_Comment_in_Model,3,1285,60,13,31.681928,8405,62,135.56451612903226,1.0
modify_Comment_in_Model,3,1285,60,13,28.837886,8403,62,135.53225806451613,1.0
modify_Comment_in_Model,3,1285,80,13,35.222666,9087,82,110.8170731707317,1.0
modify_Comment_in_Model,3,1285,80,13,33.37923,9085,82,110.79268292682927,1.0
modify_Comment_in_Model,3,1285,100,13,34.64541,9811,102,96.18627450980392,1.0
modify_Comment_in_Model,3,1285,100,13,34.876876,9809,102,96.16666666666667,1.0
modify_Comment_in_Model,4,2569,20,13,78.137413,12155,22,552.5,1.0
modify_Comment_in_Model,4,2569,20,13,76.458153,12153,22,552.4090909090909,1.0
modify_Comment_in_Model,4,2569,40,13,74.440458,13172,42,313.6190476190476,1.0
modify_Comment_in_Model,4,2569,40,13,73.090733,13170,42,313.57142857142856,1.0
modify_Comment_in_Model,4,2569,60,13,80.255216,14146,62,228.16129032258064,1.0
modify_Comment_in_Model,4,2569,60,13,75.661985,14144,62,228.1290322580645,1.0
modify_Comment_in_Model,4,2569,80,13,83.277928,15152,82,184.78048780487805,1.0
modify_Comment_in_Model,4,2569,80,13,82.132386,15150,82,184.7560975609756,1.0
