Transformation Name, Clone Number, Input Size, Feature Number, Rules per Feature, Runtime, Clauses, Variables, Clauses/Variables, Slow-down Ratio
create_PROP_in_any_CLASS,1,322,20,11,7.597199,1378,22,62.63636363636363,1.3532101161250791
create_PROP_in_any_CLASS,1,322,40,15,7.977975,4246,42,101.0952380952381,1.3312371316538911
create_PROP_in_any_CLASS,1,322,60,11,8.14463,5146,62,83.0,1.4194547860891642
create_PROP_in_any_CLASS,1,322,60,12,7.898336,6253,62,100.85483870967742,1.4354469805917576
create_PROP_in_any_CLASS,1,322,60,13,8.391093,6970,62,112.41935483870968,1.3319573683125283
create_PROP_in_any_CLASS,1,322,60,14,8.639582,7149,62,115.30645161290323,1.2121795706431824
create_PROP_in_any_CLASS,1,322,60,15,8.644945,8384,62,135.2258064516129,1.2665953246878068
create_PROP_in_any_CLASS,1,322,80,11,8.517011,7476,82,91.17073170731707,1.425473140318126
create_PROP_in_any_CLASS,1,322,80,12,8.961269,7746,82,94.46341463414635,1.334110213460159
create_PROP_in_any_CLASS,1,322,80,13,8.772586,8052,82,98.1951219512195,1.400376761109161
create_PROP_in_any_CLASS,1,322,80,14,9.268178,7655,82,93.35365853658537,1.4702789018553746
create_PROP_in_any_CLASS,1,322,20,12,7.746177,1445,22,65.68181818181819,1.3061382542561075
create_PROP_in_any_CLASS,1,322,80,15,9.00325,9241,82,112.6951219512195,1.5188578263374408
create_PROP_in_any_CLASS,2,643,20,11,13.887771,2246,22,102.0909090909091,1.0830494583844563
create_PROP_in_any_CLASS,2,643,20,12,14.457505,2242,22,101.9090909090909,1.307330715990175
create_PROP_in_any_CLASS,2,643,20,13,14.312843,2275,22,103.4090909090909,1.135378719153739
create_PROP_in_any_CLASS,2,643,20,14,14.379459,2325,22,105.68181818181819,1.2156836702515748
create_PROP_in_any_CLASS,2,643,20,15,14.022075,2332,22,106.0,1.065864234767998
create_PROP_in_any_CLASS,2,643,40,11,14.419504,2905,42,69.16666666666667,1.185202963536741
create_PROP_in_any_CLASS,2,643,40,12,14.646628,3171,42,75.5,1.1091570979527137
create_PROP_in_any_CLASS,2,643,40,13,15.344108,3105,42,73.92857142857143,1.2031348404822544
create_PROP_in_any_CLASS,2,643,40,14,15.066518,3240,42,77.14285714285714,1.2145733798465785
create_PROP_in_any_CLASS,1,322,20,13,8.073579,1522,22,69.18181818181819,1.4378099626869392
create_PROP_in_any_CLASS,2,643,40,15,15.544534,3444,42,82.0,1.1726583547377873
create_PROP_in_any_CLASS,2,643,60,11,15.346566,3469,62,55.95161290322581,1.0817705476308999
create_PROP_in_any_CLASS,2,643,60,12,15.607674,3776,62,60.903225806451616,1.3279348692537944
create_PROP_in_any_CLASS,2,643,60,13,15.054046,3884,62,62.645161290322584,1.239916933890984
create_PROP_in_any_CLASS,2,643,60,14,16.5887,4151,62,66.95161290322581,1.2953424922812151
create_PROP_in_any_CLASS,2,643,60,15,16.702886,4117,62,66.40322580645162,1.3920412666420199
create_PROP_in_any_CLASS,2,643,80,11,15.80724,3997,82,48.74390243902439,1.3066883290208946
create_PROP_in_any_CLASS,2,643,80,12,16.739,11959,82,145.84146341463415,1.220023901943868
create_PROP_in_any_CLASS,2,643,80,13,17.046642,20378,82,248.5121951219512,1.195300009985
create_PROP_in_any_CLASS,2,643,80,14,17.528588,21675,82,264.3292682926829,1.2153993588026581
create_PROP_in_any_CLASS,1,322,20,14,8.331184,1493,22,67.86363636363636,1.5615563111272721
create_PROP_in_any_CLASS,2,643,80,15,16.835445,20128,82,245.46341463414635,1.2821003042765882
create_PROP_in_any_CLASS,3,1285,20,11,29.609204,3657,22,166.22727272727272,1.147197226133491
create_PROP_in_any_CLASS,3,1285,20,12,32.684456,3673,22,166.95454545454547,1.0022386001089432
create_PROP_in_any_CLASS,3,1285,20,13,42.429562,3752,22,170.54545454545453,1.5948242363765157
create_PROP_in_any_CLASS,3,1285,20,14,29.550135,3764,22,171.0909090909091,1.3023411491514925
create_PROP_in_any_CLASS,3,1285,20,15,30.98953,3803,22,172.86363636363637,1.1834351545985382
create_PROP_in_any_CLASS,3,1285,40,11,32.054262,4465,42,106.30952380952381,1.2437070003284814
create_PROP_in_any_CLASS,3,1285,40,12,33.87773,4673,42,111.26190476190476,1.2830042580568637
create_PROP_in_any_CLASS,3,1285,40,13,33.230114,4784,42,113.9047619047619,1.2227367617581946
create_PROP_in_any_CLASS,3,1285,40,14,32.52482,4806,42,114.42857142857143,1.2320428523732136
create_PROP_in_any_CLASS,1,322,20,15,7.92391,1562,22,71.0,1.3341955302258326
create_PROP_in_any_CLASS,3,1285,40,15,34.47457,4894,42,116.52380952380952,1.2961484904278004
create_PROP_in_any_CLASS,3,1285,60,11,34.104925,5379,62,86.75806451612904,1.2832923472825128
create_PROP_in_any_CLASS,3,1285,60,12,34.350191,5570,62,89.83870967741936,1.368125303171496
create_PROP_in_any_CLASS,3,1285,60,13,35.086405,5710,62,92.09677419354838,1.294620747949039
create_PROP_in_any_CLASS,3,1285,60,14,36.187783,5929,62,95.62903225806451,1.333129796627966
create_PROP_in_any_CLASS,3,1285,60,15,37.297852,5964,62,96.19354838709677,1.433647326585757
create_PROP_in_any_CLASS,3,1285,80,11,38.583775,5998,82,73.14634146341463,1.3059992235176008
create_PROP_in_any_CLASS,3,1285,80,12,37.345052,6073,82,74.0609756097561,1.3777913841174467
create_PROP_in_any_CLASS,3,1285,80,13,36.022594,6390,82,77.92682926829268,1.3608931500775714
create_PROP_in_any_CLASS,3,1285,80,14,39.848695,6678,82,81.4390243902439,1.4343246238841911
create_PROP_in_any_CLASS,1,322,40,11,8.037256,3667,42,87.30952380952381,1.4477037505626627
create_PROP_in_any_CLASS,1,322,40,12,8.387845,4539,42,108.07142857142857,1.4846027145297644
create_PROP_in_any_CLASS,1,322,40,13,7.491668,4266,42,101.57142857142857,1.425373301871751
create_PROP_in_any_CLASS,1,322,40,14,7.956387,4221,42,100.5,1.368041014474463
create_CLASS_in_any_DOMAIN,1,322,20,11,7.12507,1310,22,59.54545454545455,1.4880706982230627
create_CLASS_in_any_DOMAIN,1,322,20,11,7.388087,1310,22,59.54545454545455,1.6992193986563722
create_CLASS_in_any_DOMAIN,1,322,40,15,7.345376,2132,42,50.76190476190476,1.408131548219375
create_CLASS_in_any_DOMAIN,1,322,60,11,6.976979,2210,62,35.645161290322584,1.375458799788821
create_CLASS_in_any_DOMAIN,1,322,60,12,7.398993,2334,62,37.645161290322584,1.6185370021665098
